burst_size,mbuf_cache,rx_packets,rx_bytes,duration_sec,pps,polls,empty_polls
1,0,4096,274432,0.002680,1528523.61,104096,100000
1,64,4096,274432,0.002394,1711215.65,104096,100000
1,250,4096,274432,0.002413,1697373.55,104096,100000
4,0,4096,274432,0.002427,1688014.11,101024,100000
4,64,4096,274432,0.003320,1233794.40,101024,100000
4,250,4096,274432,0.002465,1661339.78,101024,100000
16,0,4096,274432,0.002389,1714790.49,100256,100000
16,64,4096,274432,0.002463,1662972.08,100256,100000
16,250,4096,274432,0.002368,1729970.82,100256,100000
32,0,4096,274432,0.002371,1727898.22,100128,100000
32,64,4096,274432,0.002540,1612585.73,100128,100000
32,250,4096,274432,0.002390,1714123.10,100128,100000
64,0,4096,274432,0.002380,1721008.40,100064,100000
64,64,4096,274432,0.002347,1745533.89,100064,100000
64,250,4096,274432,0.002556,1602196.76,100064,100000
